city,lat,lon,country,iso2,admin_name,capital,population,population_proper
Kuala Lumpur,3.1478,101.6953,Malaysia,MY,Kuala Lumpur,primary,8911000,1768000
Seberang Jaya,5.4083,100.3695,Malaysia,MY,Pulau Pinang,,946092,946092
Klang,3.0333,101.4500,Malaysia,MY,Selangor,,878000,878000
Ipoh,4.5972,101.0750,Malaysia,MY,Perak,admin,866772,866772
George Town,5.4144,100.3292,Malaysia,MY,Pulau Pinang,admin,708127,708127
Petaling Jaya,3.0972,101.6444,Malaysia,MY,Selangor,,638516,638516
Kuantan,3.8167,103.3333,Malaysia,MY,Pahang,admin,607778,607778
Shah Alam,3.0722,101.5167,Malaysia,MY,Selangor,admin,584340,584340
Sungai Petani,5.6500,100.5000,Malaysia,MY,Kedah,,544851,544851
Johor Bahru,1.4556,103.7611,Malaysia,MY,Johor,admin,497097,497097
Kota Bharu,6.1333,102.2500,Malaysia,MY,Kelantan,admin,491237,491237
Melaka,2.1944,102.2486,Malaysia,MY,Melaka,admin,455300,455300
Kota Kinabalu,5.9750,116.0725,Malaysia,MY,Sabah,admin,452058,452058
Seremban,2.7222,101.9417,Malaysia,MY,Negeri Sembilan,admin,419536,419536
Sandakan,5.8333,118.1167,Malaysia,MY,Sabah,,396290,396290
Kuching,1.5575,110.3439,Malaysia,MY,Sarawak,admin,325132,325132
Kluang,2.0336,103.3194,Malaysia,MY,Johor,,323762,323762
Muar,2.0500,102.5667,Malaysia,MY,Johor,,314776,314776
Pasir Gudang,1.5028,103.9356,Malaysia,MY,Johor,,312499,312499
Kuala Terengganu,5.3292,103.1361,Malaysia,MY,Terengganu,admin,255109,255109
Sibu,2.2878,111.8308,Malaysia,MY,Sarawak,,247995,247995
Taiping,4.8500,100.7333,Malaysia,MY,Perak,,245182,245182
Kajang,2.9931,101.7889,Malaysia,MY,Selangor,,236240,236240
Miri,4.3925,113.9861,Malaysia,MY,Sarawak,,234541,234541
Teluk Intan,4.0333,101.0167,Malaysia,MY,Perak,,232800,232800
Kulai,1.6667,103.6000,Malaysia,MY,Johor,,230000,230000
Alor Setar,6.1183,100.3694,Malaysia,MY,Kedah,admin,217000,217000
Bukit Mertajam,5.3655,100.4607,Malaysia,MY,Pulau Pinang,,210000,210000
Lahad Datu,5.0300,118.3400,Malaysia,MY,Sabah,,199830,199830
Segamat,2.5111,102.8139,Malaysia,MY,Johor,,197762,197762
Tumpat,6.1667,102.1667,Malaysia,MY,Kelantan,minor,183100,183100
Keningau,5.3333,116.1667,Malaysia,MY,Sabah,,173130,173130
Batu Pahat,1.8522,102.9372,Malaysia,MY,Johor,,140000,140000
Batu Gajah,4.4667,101.0500,Malaysia,MY,Perak,,133422,133422
Tuaran,6.1833,116.2333,Malaysia,MY,Sabah,,128200,128200
Bayan Lepas,5.2833,100.2667,Malaysia,MY,Pulau Pinang,,122654,122654
Port Dickson,2.5167,101.8000,Malaysia,MY,Negeri Sembilan,,119300,119300
Bintulu,3.1733,113.0433,Malaysia,MY,Sarawak,,114058,114058
Tawau,4.2583,117.8944,Malaysia,MY,Sabah,,113809,113809
Simanggang,1.2353,111.4697,Malaysia,MY,Sarawak,,102092,102092
Labuan,5.3000,115.2200,Malaysia,MY,Labuan,admin,95120,95120
Cukai,4.2332,103.4479,Malaysia,MY,Terengganu,,82425,82425
Butterworth,5.3942,100.3664,Malaysia,MY,Pulau Pinang,,80378,80378
Putrajaya,2.9300,101.6900,Malaysia,MY,Putrajaya,primary,67964,67964
Taman Johor Jaya,1.5333,103.8167,Malaysia,MY,Johor,,66000,66000
Kangar,6.4333,100.2000,Malaysia,MY,Perlis,admin,48898,48898
